post_label,region,post_id
Aldershot,South East,WMC:E14000530
Aldridge-Brownhills,West Midlands,WMC:E14000531
Altrincham and Sale West,North West,WMC:E14000532
Amber Valley,East Midlands,WMC:E14000533
Arundel and South Downs,South East,WMC:E14000534
Ashfield,East Midlands,WMC:E14000535
Ashford,South East,WMC:E14000536
Ashton-under-Lyne,North West,WMC:E14000537
Aylesbury,South East,WMC:E14000538
Banbury,South East,WMC:E14000539
Barking,London,WMC:E14000540
Barnsley Central,Yorkshire & the Humber,WMC:E14000541
Barnsley East,Yorkshire & the Humber,WMC:E14000542
Barrow and Furness,North West,WMC:E14000543
Basildon and Billericay,Eastern,WMC:E14000544
Basingstoke,South East,WMC:E14000545
Bassetlaw,East Midlands,WMC:E14000546
Bath,South West,WMC:E14000547
Batley and Spen,Yorkshire & the Humber,WMC:E14000548
Battersea,London,WMC:E14000549
Beaconsfield,South East,WMC:E14000550
Beckenham,London,WMC:E14000551
Bedford,Eastern,WMC:E14000552
Bermondsey and Old Southwark,London,WMC:E14000553
Berwick-upon-Tweed,North East,WMC:E14000554
Bethnal Green and Bow,London,WMC:E14000555
Beverley and Holderness,Yorkshire & the Humber,WMC:E14000556
Bexhill and Battle,South East,WMC:E14000557
Bexleyheath and Crayford,London,WMC:E14000558
Birkenhead,North West,WMC:E14000559
"Birmingham, Edgbaston",West Midlands,WMC:E14000560
"Birmingham, Erdington",West Midlands,WMC:E14000561
"Birmingham, Hall Green",West Midlands,WMC:E14000562
"Birmingham, Hodge Hill",West Midlands,WMC:E14000563
"Birmingham, Ladywood",West Midlands,WMC:E14000564
"Birmingham, Northfield",West Midlands,WMC:E14000565
"Birmingham, Perry Barr",West Midlands,WMC:E14000566
"Birmingham, Selly Oak",West Midlands,WMC:E14000567
"Birmingham, Yardley",West Midlands,WMC:E14000568
Bishop Auckland,North East,WMC:E14000569
Blackburn,North West,WMC:E14000570
Blackpool North and Cleveleys,North West,WMC:E14000572
Blackpool South,North West,WMC:E14000573
Blackley and Broughton,North West,WMC:E14000571
Blaydon,North East,WMC:E14000574
Blyth Valley,North East,WMC:E14000575
Bognor Regis and Littlehampton,South East,WMC:E14000576
Bolsover,East Midlands,WMC:E14000577
Bolton North East,North West,WMC:E14000578
Bolton South East,North West,WMC:E14000579
Bolton West,North West,WMC:E14000580
Bootle,North West,WMC:E14000581
Boston and Skegness,East Midlands,WMC:E14000582
Bosworth,East Midlands,WMC:E14000583
Bournemouth East,South West,WMC:E14000584
Bournemouth West,South West,WMC:E14000585
Bracknell,South East,WMC:E14000586
Bradford East,Yorkshire & the Humber,WMC:E14000587
Bradford South,Yorkshire & the Humber,WMC:E14000588
Bradford West,Yorkshire & the Humber,WMC:E14000589
Braintree,Eastern,WMC:E14000590
Brent Central,London,WMC:E14000591
Brent North,London,WMC:E14000592
Brentford and Isleworth,London,WMC:E14000593
Brentwood and Ongar,Eastern,WMC:E14000594
Bridgwater and West Somerset,South West,WMC:E14000595
Brigg and Goole,Yorkshire & the Humber,WMC:E14000596
"Brighton, Kemptown",South East,WMC:E14000597
"Brighton, Pavilion",South East,WMC:E14000598
Bristol East,South West,WMC:E14000599
Bristol North West,South West,WMC:E14000600
Bristol South,South West,WMC:E14000601
Bristol West,South West,WMC:E14000602
Broadland,Eastern,WMC:E14000603
Bromley and Chislehurst,London,WMC:E14000604
Bromsgrove,West Midlands,WMC:E14000605
Broxbourne,Eastern,WMC:E14000606
Broxtowe,East Midlands,WMC:E14000607
Buckingham,South East,WMC:E14000608
Burnley,North West,WMC:E14000609
Burton,West Midlands,WMC:E14000610
Bury North,North West,WMC:E14000611
Bury South,North West,WMC:E14000612
Bury St Edmunds,Eastern,WMC:E14000613
Calder Valley,Yorkshire & the Humber,WMC:E14000614
Camberwell and Peckham,London,WMC:E14000615
Camborne and Redruth,South West,WMC:E14000616
Cambridge,Eastern,WMC:E14000617
Cannock Chase,West Midlands,WMC:E14000618
Canterbury,South East,WMC:E14000619
Carlisle,North West,WMC:E14000620
Carshalton and Wallington,London,WMC:E14000621
Castle Point,Eastern,WMC:E14000622
