id,name,party_name,post_id,votes
20,Captain Beany,Independent,W07000049,15416
6754,Peter Bush,UK Independence Party (UKIP),W07000049,4971
4561,Helen Ceri Clarke,Liberal Democrats,W07000049,3742
5518,Edward Yi He,Conservative and Unionist Party,W07000049,3663
6520,Owen Herbert,Trade Unionist and Socialist Coalition,W07000049,1397
5576,Duncan Higgitt,Plaid Cymru - The Party of Wales,W07000049,1137
5754,Andrew Jordan,Socialist Labour Party,W07000049,711
4252,Stephen Kinnock,Labour Party,W07000049,352
5328,Jonathan Tier,Green Party,W07000049,134
8095,Victor Babu,Liberal Democrats,W07000058,12513
1412,Guto Bebb,Conservative and Unionist Party,W07000058,8514
6949,Petra Haig,Green Party,W07000058,3536
2274,Andrew Haigh,UK Independence Party (UKIP),W07000058,3467
4575,Dafydd Meurig,Plaid Cymru - The Party of Wales,W07000058,1391
4253,Mary Wimbury,Labour Party,W07000058,727
4254,Richard Baker,Labour and Co-operative Party,S14000001,24793
6042,Kirsty Blackman,Scottish National Party (SNP),S14000001,11397
6300,Euan Davidson,Liberal Democrats,S14000001,5304
6151,Tyrinne Rutherford,Trade Unionist and Socialist Coalition,S14000001,2050
5577,Sanjoy Sen,Conservative and Unionist Party,S14000001,206
7246,Christopher Sean Willett,National Front,S14000001,186
885,Anne Begg,Labour Party,S14000002,20221
7245,Christopher Nicholas Gray,Independent,S14000002,12991
6043,Callum McCaig,Scottish National Party (SNP),S14000002,11087
6595,Denis Rixson,Liberal Democrats,S14000002,2252
6835,Sandra Skinner,UK Independence Party (UKIP),S14000002,964
2865,Ross Thomson,Conservative and Unionist Party,S14000002,897
6239,Dan Yeats,Scottish Green Party,S14000002,139
7276,Deryck Beaumont,Independent,S14000003,23887
6031,Neil Gray,Scottish National Party (SNP),S14000003,15108
6569,Eric Holford,Conservative and Unionist Party,S14000003,3389
3470,John Love,Liberal Democrats,S14000003,1088
2073,Pamela Nash,Labour Party,S14000003,678
6443,Matthew Williams ,UK Independence Party (UKIP),S14000003,136
6333,Carl Hewitt,Green Party,E14000530,23369
1201,Alan Hilliar,Liberal Democrats,E14000530,8468
3438,Gerald Howarth,Conservative and Unionist Party,E14000530,8253
4576,Gary Puffett,Labour Party,E14000530,4076
4577,Bill Walker,UK Independence Party (UKIP),E14000530,2025
5731,Mark Beech,Official Monster Raving Loony Party,E14000531,20558
6471,Martyn Curzey,Green Party,E14000531,8835
4255,John Fisher,Labour Party,E14000531,7751
3873,Ian Garrett,Liberal Democrats,E14000531,1330
5728,Wendy Morton,Conservative and Unionist Party,E14000531,826
6827,Anthony Thompson,UK Independence Party (UKIP),E14000531,197
1433,Graham Brady,Conservative and Unionist Party,E14000532,26771
1432,Jane Brophy,Liberal Democrats,E14000532,13481
6034,Chris Frost,UK Independence Party (UKIP),E14000532,4235
5060,Nick Robertson-Brown,Green Party,E14000532,4047
4579,James Wright,Labour Party,E14000532,1983
5579,Jacqui Hurst,Plaid Cymru - The Party of Wales,W07000043,16540
6200,Alasdair Ibbotson,Green Party,W07000043,13197
5359,Tudor Jones,Liberal Democrats,W07000043,7260
4153,Laura Knightly,Conservative and Unionist Party,W07000043,1733
