post_label,post_id,electorate,valid_poll,total_poll
Aberavon,W07000049,49821,31523,"31,842"
Aberconwy,W07000058,45525,30148,"30,337"
Aberdeen North,S14000001,67745,43936,"44,431"
Aberdeen South,S14000002,68056,48551,"49,009"
Airdrie and Shotts,S14000003,66792,44286,"44,555"
Aldershot,E14000530,72430,46191,"46,956"
Aldridge-Brownhills,E14000531,60215,39497,"39,704"
Altrincham and Sale West,E14000532,71511,50517,"51,775"
Alyn and Deeside,W07000043,62016,41314,"42,248"
Amber Valley,E14000533,69510,45717,"45,981"
Angus,S14000004,65792,44485,"44,800"
Arfon,W07000057,40492,26837,"27,021"
Argyll and Bute,S14000005,68875,51883,"52,148"
Arundel and South Downs,E14000534,77242,56477,"56,985"
Ashfield,E14000535,77091,47409,"47,848"
Ashford,E14000536,85177,57372,"57,938"
Ashton-under-Lyne,E14000537,68343,38918,"39,331"
Aylesbury,E14000538,80315,55419,"55,803"
"Ayr, Carrick and Cumnock",S14000006,72995,52209,"52,594"
Banbury,E14000539,86420,58008,"58,459"
Banff and Buchan,S14000007,68609,45629,"46,209"
Barking,E14000540,73977,43041,"43,498"
Barnsley Central,E14000541,64534,36560,"37,071"
Barnsley East,E14000542,69135,38517,"39,188"
Barrow and Furness,E14000543,68338,43275,"43,590"
Basildon and Billericay,E14000544,66347,43028,"43,439"
Basingstoke,E14000545,79665,53076,"53,495"
Bassetlaw,E14000546,76796,49289,"50,420"
Bath,E14000547,63084,47167,"47,438"
Batley and Spen,E14000548,78373,50479,"51,127"
Battersea,E14000549,76111,51031,"51,539"
Beaconsfield,E14000550,74726,53163,"53,788"
Beckenham,E14000551,67439,48803,"49,049"
Bedford,E14000552,69311,46086,"47,085"
Belfast East,N06000001,63157,39682,"39,894"
Belfast North,N06000002,68553,40593,"40,902"
Belfast South,N06000003,64927,38957,"39,146"
Belfast West,N06000004,62697,35329,"35,623"
Bermondsey and Old Southwark,E14000553,83298,51424,"52,144"
"Berwickshire, Roxburgh and Selkirk",S14000008,74214,55038,"55,294"
Berwick-upon-Tweed,E14000554,56969,40423,"40,762"
Bethnal Green and Bow,E14000555,82727,52924,"53,939"
Beverley and Holderness,E14000556,80805,52677,"52,978"
Bexhill and Battle,E14000557,78796,55218,"56,028"
Bexleyheath and Crayford,E14000558,64828,43685,"43,988"
Birkenhead,E14000559,62410,39144,"39,457"
"Birmingham, Edgbaston",E14000560,65591,41293,"41,811"
"Birmingham, Erdington",E14000561,65128,34684,"35,083"
"Birmingham, Hall Green",E14000562,76330,47046,"47,640"
"Birmingham, Hodge Hill",E14000563,75302,41039,"41,643"
"Birmingham, Ladywood",E14000564,68128,35916,"36,579"
"Birmingham, Northfield",E14000565,71428,42461,"42,791"
"Birmingham, Perry Barr",E14000566,69943,41260,"41,762"
"Birmingham, Selly Oak",E14000567,75092,45294,"45,724"
"Birmingham, Yardley",E14000568,72146,41151,"41,581"
Bishop Auckland,E14000569,66070,39389,"39,677"
Blackburn,E14000570,73260,43999,"45,803"
Blackley and Broughton,E14000571,71913,37112,"37,863"
Blackpool North and Cleveleys,E14000572,62468,39393,"39,825"
Blackpool South,E14000573,57411,32436,"33,192"
Blaenau Gwent,W07000072,51335,31683,"31,891"
Blaydon,E14000574,67901,44936,"45,734"
Blyth Valley,E14000575,61247,38461,"39,094"
Bognor Regis and Littlehampton,E14000576,72995,47116,"47,627"
Bolsover,E14000577,71979,43998,"44,524"
Bolton North East,E14000578,67895,43161,"43,577"
Bolton South East,E14000579,69687,40743,"41,153"
Bolton West,E14000580,72719,48592,"49,058"
Bootle,E14000581,70145,45152,"45,627"
Boston and Skegness,E14000582,67064,43339,"44,413"
Bosworth,E14000583,79738,53582,"54,302"
Bournemouth East,E14000584,72275,44827,"45,250"
Bournemouth West,E14000585,72082,41773,"42,153"
Bracknell,E14000586,81271,53086,"53,464"
Bradford East,E14000587,66121,41406,"42,444"
Bradford South,E14000588,63674,37600,"38,094"
Bradford West,E14000589,63372,40290,"41,289"
Braintree,E14000590,73557,50283,"50,607"
Brecon and Radnorshire,W07000068,54441,40074,"40,338"
Brent Central,E14000591,77038,47032,"47,516"
Brent North,E14000592,82196,52235,"52,747"
Brentford and Isleworth,E14000593,84602,57355,"57,746"
Brentwood and Ongar,E14000594,71918,51897,"52,239"
Bridgend,W07000073,59998,39453,"39,703"
Bridgwater and West Somerset,E14000595,80491,54447,"54,947"
Brigg and Goole,E14000596,68488,43270,"43,857"
"Brighton, Kemptown",E14000597,67858,45306,"46,639"
"Brighton, Pavilion",E14000598,76557,54676,"56,093"
Bristol East,E14000599,71193,46213,"46,568"
Bristol North West,E14000600,74743,51805,"52,168"
Bristol South,E14000601,81496,50842,"51,329"
Bristol West,E14000602,91236,64218,"65,175"
Broadland,E14000603,73552,53089,"53,366"
Bromley and Chislehurst,E14000604,65477,44066,"44,349"
Bromsgrove,E14000605,73337,52245,"52,706"
Broxbourne,E14000606,72944,46024,"46,263"
Broxtowe,E14000607,71764,53440,"53,893"
Buckingham,E14000608,77425,53692,"55,108"
Burnley,E14000609,64477,39746,"40,293"
Burton,E14000610,75248,48974,"49,416"
Bury North,E14000611,67580,45230,"45,833"
Bury South,E14000612,73883,47215,"47,955"
Bury St Edmunds,E14000613,85982,59341,"59,807"
Caerphilly,W07000076,63603,40283,"40,543"
"Caithness, Sutherland and Easter Ross",S14000009,47558,34186,"34,405"
Calder Valley,E14000614,77754,53541,"54,290"
Camberwell and Peckham,E14000615,82746,51561,"52,180"
Camborne and Redruth,E14000616,66944,45868,"46,107"
Cambridge,E14000617,83384,51774,"52,051"
Cannock Chase,E14000618,74532,47099,"47,556"
Canterbury,E14000619,81341,53465,"53,897"
Cardiff Central,W07000050,57456,38646,"38,909"
Cardiff North,W07000051,67196,51151,"51,383"
Cardiff South and Penarth,W07000080,76006,46667,"47,155"
Cardiff West,W07000079,66762,43792,"44,242"
Carlisle,E14000620,65827,42587,"42,830"
Carmarthen East and Dinefwr,W07000067,55750,39399,"39,953"
